franchise,city,zipcode,median_household_income,population,population_density,median_home_value,housing_units
soulcycle,LA,91101,94180,20583,16204,425500,11848
soulcycle,LA,90069,110705,20584,9566,696700,13485
soulcycle,LA,90049,169898,36980,2470,1000001,17009
soulcycle,LA,90401,106704,8167,10824,62794,4987
soulcycle,LA,90245,149149,17272,3230,736500,7175
soulcycle,LA,90232,125490,16452,7608,722200,7626
solidcore,LA,91436,174803,15189,2909,1000001,6075
solidcore,LA,90038,61566,27414,17711,525800,13859
solidcore,LA,91103,84683,26887,5859,520000,9516
solidcore,LA,90405,114489,27966,10053,1000001,15494
solidcore,LA,90069,110705,20584,9566,696700,15072
solidcore,LA,90064,129703,27553,7398,904200,12750
solidcore,LA,91364,134534,27071,3591,646400,10983
solidcore,LA,90292,136964,27681,13206,703200,17979
solidcore,Bay Area,94114,114689,33683,24326,1000001,17996
solidcore,Bay Area,94123,112650,26131,24135,1000001,15641
solidcore,Bay Area,94040,99375,36501,9973,997000,16342
solidcore,Bay Area,95128,66533,34776,8847,572200,14716
corepower,LA,90048,104227,22604,11936,941100,13444
corepower,LA,90210,190382,21134,1967,1000001,9706
corepower,LA,90232,125490,16452,7608,722200,7626
corepower,LA,90017,51317,27295,38607,417600,15191
corepower,LA,91316,90802,28777,5273,487700,13256
corepower,LA,90254,152092,19736,13807,1000001,10043
corepower,LA,90028,59393,32330,21402,593900,20700
corepower,LA,91011,221451,20588,1828,1000001,7117
corepower,LA,90266,193904,35506,8771,1000001,14994
corepower,LA,90292,136964,27681,13206,703200,17979
corepower,LA,91105,156835,13869,3306,846600,6936
corepower,LA,90049,169898,36980,2470,1000001,18309
corepower,LA,90401,106704,8167,10824,676800,5845
corepower,LA,91423,112119,32635,8034,755300,16134
corepower,LA,90063,71725,50227,15291,273400,13930
corepower,LA,90505,102267,36643,6262,682100,14927
corepower,LA,90024,79994,52862,17775,963400,19785
corepower,LA,90025,104627,45466,17824,669100,24402
corepower,SF,94114,114689,33683,24326,1000001,17996
corepower,SF,94109,60722,58501,54234,723200,38664
corepower,SF,94117,94479,38451,30168,911500,19333
corepower,SF,94111,89722,4306,12907,882000,2906
corepower,SF,94123,112650,26131,24135,1000001,15641
corepower,SF,94105,163949,14841,29416,740900,10046
corepower,SF,94158,82195,11327,18542,643900,5207
corepower,SF,94608,52787,33073,12019,342900,16635
corepower,SF,94710,63125,9552,4422,540100,3840
corepower,SF,94610,72848,31261,14948,666600,16256
corepower,SF,94611,104967,40262,5515,811100,19038
corepower,SF,94401,69832,35249,11332,570500,13609
cyclebar,SOCAL,90230,106827,32743,7212,556700,13723
cyclebar,SOCAL,91505,77378,32371,6047,530600,14375
cyclebar,SOCAL,91403,114348,25329,7061,740200,12485
cyclebar,SOCAL,90503,119685,45386,8617,628700,18115
cyclebar,SOCAL,90815,116567,41837,5931,505400,15712
equinox,LA,90028,59393,32330,21402,593900,20700
equinox,LA,90036,102877,39549,16105,945000,21334
equinox,LA,91203,77925,16930,19285,373300,8038
equinox,LA,90069,110705,20584,9566,696700,15072
equinox,LA,91101,94180,20583,16204,425500,11848
equinox,LA,90232,125490,16452,7608,722200,7626
equinox,LA,90210,190382,21134,1967,1000001,9706
equinox,LA,90067,135328,3344,7774,928600,2724
equinox,LA,90025,104627,45466,17824,669100,24402
equinox,LA,91604,141317,30947,6528,824000,15475
equinox,LA,90024,79994,52862,17775,963400,19785
equinox,LA,90292,136964,27681,13206,703200,17979
equinox,LA,90250,74923,97653,14428,397500,34677
equinox,LA,90401,106704,8167,10824,676800,5845
equinox,LA,91436,174803,15189,2909,1000001,6075
equinox,LA,92071,71100,60163,3192,323500,21885
equinox,LA,90274,222273,25307,2114,1000001,10055
solidcore,NYC,10011,104238,53318,82337,914500,34569
solidcore,NYC,11201,95369,69703,51482,669000,36448
solidcore,NYC,10009,59929,61716,100071,672800,32618
solidcore,NYC,10005,124670,10639,146004,1000001,6963
solidcore,NYC,10017,100652,17401,58413,637100,12823
solidcore,NYC,11101,47142,48867,18888,654900,25019
solidcore,NYC,10012,86594,23125,71384,1000001,14823
solidcore,NYC,10016,105324,62336,113383,759600,40252
solidcore,NYC,11577,112552,12695,4300,670300,4447
soulcycle,NYC,10011,104238,53318,82337,914500,34569
soulcycle,NYC,11201,95369,69703,51482,669000,36448
soulcycle,NYC,10018,104635,11145,32395,1000001,7039
soulcycle,NYC,10022,109019,36708,82786,866100,25923
soulcycle,NYC,10065,115519,32891,78483,1000001,22311
soulcycle,NYC,10028,104638,48116,151990,1000001,28800
soulcycle,NYC,10038,66074,25332,87764,616300,13116
soulcycle,NYC,10001,81671,32612,52278,650200,18926
soulcycle,NYC,10003,92540,57076,99853,817700,32136
soulcycle,NYC,10007,216037,8421,52665,1000001,3774
soulcycle,NYC,10023,103534,71164,73419,872500,45523
soulcycle,NYC,10014,108483,32590,67212,947300,22157
corepower,NYC,10018,104635,11145,32395,1000001,7039
corepower,NYC,10011,104238,53318,82337,914500,34569
corepower,NYC,10022,109019,36708,82786,866100,25923
corepower,NYC,10012,86594,23125,71384,1000001,14823
corepower,NYC,10001,81671,32612,52278,650200,18926
corepower,NYC,11238,65315,60090,32498,656800,29555
corepower,NYC,10036,66599,33868,75727,810300,22546
corepower,NYC,10013,83725,31042,57024,1000001,15981
corepower,NYC,10028,104638,48116,151990,1000001,28800
corepower,NYC,10023,103534,71164,73419,872500,45523
corepower,NYC,11211,46848,68540,47105,655500,30483
cyclebar,NYC,10010,97955,33991,92177,746200,19806
cyclebar,NYC,10016,105324,62336,113383,759600,40252
cyclebar,NYC,10003,92540,57076,99853,817700,32136
cyclebar,NYC,10065,115519,32891,78483,1000001,22311
equinox,NYC,10021,107907,45691,128144,1000001,29004
equinox,NYC,10010,97955,33991,92177,746200,19806
equinox,NYC,10065,115519,32891,78483,1000001,22311
equinox,NYC,10028,104638,48116,151990,1000001,28800
equinox,NYC,10025,68516,95424,107356,934600,48986
equinox,NYC,10012,86594,23125,71384,1000001,14823
equinox,NYC,10036,66599,33868,75727,810300,22546
equinox,NYC,10019,84424,49029,74412,808600,34056
equinox,NYC,11201,95369,69703,51482,669000,36448
equinox,NYC,10002,33218,82155,99910,535600,39702
equinox,NYC,10014,108483,32590,67212,947300,22157
equinox,NYC,10007,216037,8421,52665,1000001,3774
equinox,NYC,10005,124670,10639,146004,1000001,6963
